cert_no,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,notes
3FOR298C,https://www.aerofieldservices.com/,small,specialty,"commercial airliners (engine/APU)",professional,"FAA/EASA/TCCA/CAACI certified; engine & APU repair, preservation, BSI, partouts; 19501 E 23rd Ave Aurora CO"
KP7R699J,,small,oem-service-center,"turbine helicopters (Bell, Sikorsky, MD Helicopters, Enstrom, Agusta)",none,"Air Comm Corporation - designs/manufactures ECS (bleed air heaters, vapor-cycle A/C) for turbine helicopters; no standalone website found; Facebook listed as Westminster CO; possible successor brand: ACE Thermal Systems (acethermalsystems.com)"
3MKR279D,https://altitudeaviation.com/,small,fbo-with-maintenance,"general aviation, charter jets",basic,"altitudeaviation.com found but appears primarily a charter operator; uncertain if same legal entity as Part 145 cert holder; no confirmed repair-station-specific web presence"
DMZR041Y,https://www.auroraaviation.com,small,fbo-with-maintenance,"Cessna piston and light general aviation",basic,"Cessna-approved flight school, aircraft rental, charter, maintenance, sales; FBO-style operation"
4F7R018C,,small,specialty,"piston engines (general aviation)",none,"Bolder Airmotive - airmotive name suggests engine shop; no web presence found; Boulder Municipal Airport (KBDU)"
PUXR175Y,,small,fbo-with-maintenance,"business jets",none,"Centennial Jet Center at Centennial Airport (KAPA) Englewood; no web presence found; may be inactive or absorbed"
27OD157C,https://www.advancedaerotech.com/,small,specialty,"general aviation (Cessna, piston, turboprop)",good,"Avionics specialist; panel mount installations; Garmin dealer; multiple locations (Greeley CO + Rapid City SD); AEA member since 2004"
TF5R028K,https://www.reliablejet.com/,small,full-service-mro,"business jets",good,"DBA: Reliable Jet Maintenance; reliablejet.com appears to be Boca Raton FL entity - may be same ownership/brand; full-service business jet maintenance facility; verify CO vs FL relationship"
5HVR168C,https://standardaero.com/,large,oem-service-center,"turbine engines (helicopter and fixed-wing), components",professional,"StandardAero - International Governor Services (IGS); 7290 W 118th Place Broomfield CO; Components & Accessories business unit; global MRO company"
A0IR116E,,small,general-mro,"general aviation",none,"Air Rocky Mountain Inc - no web presence found; small operation at Rocky Mountain Metropolitan Airport (KBJC) Broomfield"
5M5R199C,http://www.mountainaviation.com/,medium,fbo-with-maintenance,"Citation jets (largest Citation X operator)",professional,"Mountain Aviation - primarily private jet charter operator with in-house maintenance; 9656 Metro Airport Ave Broomfield CO; 25+ years operation"
HSAR144E,,small,general-mro,"general aviation",none,"High Sierra Aero Inc - no web presence found; Longmont CO (KLMO); small operation"
W0HR499K,,small,general-mro,"general aviation",none,"Western Aircraft Maintenance Inc - no web presence found; Loveland CO (KFNL); small operation"
B5MR835D,,small,general-mro,"general aviation",none,"Blue Sky Aviation Inc - no web presence found; Aurora CO; not to be confused with other Blue Sky Aviation entities"
LH4R202Y,https://stevensaerospace.com/,large,full-service-mro,"King Air, Citation, Hawker, business aircraft",professional,"Stevens Aviation Inc (now branded Stevens Aerospace); Centennial Airport (KAPA); full maintenance + avionics + interiors; EASA certified at other locations; 70+ year company"
RYIR468K,,small,specialty,"general aviation (avionics)",none,"Rocky Mountain Avionics Inc - no web presence found; Loveland CO (KFNL); avionics specialty shop"
7AOR630D,,small,specialty,"helicopters",none,"Apache Helicopters LLC - no web presence found; Eagle CO (KEGE); small helicopter maintenance operation in mountain resort area"
1R6R826B,https://www.rmturbine.com/,small,specialty,"turboprop and turbofan (PT6A, JT15D engines)",good,"Rocky Mountain Turbine Services - PT6A and JT15D overhaul specialists; formerly Western Skyways Turbine Inc; Loveland CO (KFNL); one man/one engine process"
YENR401X,,small,general-mro,"general aviation",none,"Yeager Aero Inc - no web presence found; Loveland CO (KFNL); small operation"
BJ4R837D,,small,specialty,"general aviation (avionics)",none,"Blue Mountain Avionics LLC - no web presence found; Grand Junction CO (KGJT); small avionics shop; not related to Blue Mountain Avionics (EFIS manufacturer)"
