cert_no,company_name,dba_name,city,state,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
N/A,Platinum Sky Maintenance,AOG PSM,Fort Lauderdale,FL,https://aogpsm.com,small,corporate-jet-mro,"Gulfstream/Challenger/Learjet/Hawker/Cessna/Dassault/Beechcraft/Beechjet",good,CONFIRMED,"CONFIRMED EBIS user. AOG-focused private/corporate jet MRO at FXE. 35+ aircraft models approved. Nationwide AOG coverage. Website is functional but modest (Wix-era build). Based at Fort Lauderdale Executive Airport. Strong candidate for ERP upsell given EBIS confirmation."
N/A,Helicraft Inc,,Opa Locka,FL,none,micro,helicopter-specialist,helicopters,none,none,"No web presence found. Based at Opa-Locka Executive Airport (OPF). Helicopter maintenance specialty. Very low digital footprint — classic no-website micro-shop candidate. Strong target for both website build and ERP outreach."
N/A,Jet Aviation Miami,,Opa Locka,FL,https://www.jetaviation.com/opa-locka/,large,enterprise-fbo-mro,business-jets-large-cabin,professional,none,"Part of General Dynamics / Jet Aviation global MRO/FBO network. New LEED-certified FBO and hangar complex under construction at OPF (mid-2026 opening). Full maintenance + FBO. Enterprise-grade ops. NOT a target for SMB ERP — enterprise software buyer. New FBO investment signals growth."
N/A,Southern Sky Aviation,,Fort Lauderdale,FL,https://southernskyaviation.com,small,fbo-charter-mro,"piston/Cirrus/Diamond/turboprop/avionics",good,none,"HQ Birmingham AL; FL footprint includes Panama City Beach (ECP) — Fort Lauderdale location unconfirmed. Part 135 Charter + Part 145 MRO + FBO. Diamond Aircraft dealer. Cirrus service center. ARGUS Gold rated. Active web presence. Verify exact FL location before outreach."
N/A,American Aero FTL,,Fort Lauderdale,FL,none,small,general-mro,unknown,none,none,"No web presence found under this name. FTL = Fort Lauderdale likely at FXE or FLL area. Very low digital footprint — possible micro/hangar-level operation or recently formed entity. High-priority no-website target for both website design and ERP."
N/A,Southeast Aerospace,,Melbourne,FL,https://www.seaerospace.com,medium,avionics-parts-mro,"GA/corporate/regional-airline/rotorcraft",professional,none,"Founded 1993. 51-200 employees; revenue $25M-$100M. Integrates parts distribution + MRO + aircraft mods. Avionics, instruments, navigation systems specialty. AEA member. Located at Melbourne Airport (MLB / Space Coast). Outside core South FL corridor but FL state target. Professional website."
N/A,Vertex Aviation,,Fort Lauderdale,FL,https://www.vortexaviation.com,medium,engine-mro-specialist,"turbine-engines/commercial/cargo/regional-jet",professional,none,"Note: Likely 'Vortex Aviation' (possible name variation). Now rebranded as VSE Aviation Americas (vseaviation.com). FAA + EASA Part 145. 44,000 sq ft FTL facility + Chicago. On-wing turbine engine MRO and field service. GE/CFMI/RR/P&W/IAE engines. Mid-size operation with global presence. Professional website."
N/A,Banyan Air Service,,Fort Lauderdale,FL,https://www.banyanair.com,large,premier-fbo-mro,"Challenger/Hawker/Falcon/Citation/Learjet/HondaJet/KingAir/Pilatus/Beechjet/Piaggio/Kodiak",professional,none,"Award-winning full-service FBO + Part 145 MRO at FXE since 1979. 1M+ sq ft / 110-acre complex. Dedicated VP/Director of MRO. AEA member. Multiple satellite MRO locations (Banyan North / St. Pete). Large private company — possible enterprise ERP target. High-quality website and strong brand."
N/A,National Air Cargo Maintenance,,Miami,FL,https://www.nationalaircargo.com,medium,cargo-carrier-maintenance,cargo-aircraft,professional,none,"National Air Cargo is primarily a cargo airline/integrator. Maintenance arm services internal fleet. MIA or OPF corridor. No dedicated standalone maintenance division website. Fleet includes Boeing 747F/777F. Internal MRO function — may have separate ERP needs for MX tracking. Verify Part 145 cert separately."
N/A,ReliantAir,,Fort Lauderdale,FL,https://www.flyreliant.com,small,charter-mro,light-jets/turboprops,basic,none,"Reliant Air Charter (flyreliant.com) — charter operator with in-house maintenance. LinkedIn shows Danbury CT HQ but serves FL charter market. Light jets and turboprops. Small operation (~1,058 Instagram followers). Charter-focused with maintenance as support function. Low-priority for standalone ERP but potential website upgrade target."
N/A,Premier Aviation Group,Premier Aircraft Service,Fort Lauderdale,FL,https://www.premieraircraft.com,small,piston-mro,"piston/GA",good,none,"At FXE Hangar 15 (5544 NW 23rd Ave, Fort Lauderdale FL 33309). AEA member. Piston aircraft maintenance + interior/exterior refurbishing + aircraft sales. Highly experienced A&P/IA staff including military-trained mechanics. Good website. Small family-style shop. Good website+ERP target."
N/A,Air One Aviation,,Pompano Beach,FL,none,small,general-mro,unknown,none,none,"No web presence found. Pompano Beach Airpark (PMP) area. Very low digital footprint. Classic micro/SMB shop operating without website. Top priority for website design outreach. Likely GA piston or light turbine focus given PMP airport profile."
N/A,Avionic Specialists Inc,,Stuart,FL,none,small,avionics-specialist,general-aviation,none,none,"Based at Witham Field (SUA) Stuart FL — Martin County, north of Palm Beach corridor. No dedicated website found under this name. Avionics specialty focus implied by name. Small shop. AEA member records may exist. Good outreach candidate for avionics ERP module."
N/A,Tiger Air Service,,Fort Lauderdale,FL,none,small,general-mro,unknown,none,none,"No web presence found. Note: Tiger Air International (tigerairinternational.com) focuses on parts sales / FAA agent work — likely separate entity. No digital presence under 'Tiger Air Service' at FXE. Classic no-website micro-shop. High-priority website design target."
AV3R112E,AMETEK/Avtech,AMETEK MRO Florida dba Avtech Avionics & Instruments,Miami,FL,https://www.ametekmro.com/businesses/avtech,medium,component-repair-specialist,"Airbus/Boeing/commercial-fleet",professional,none,"14 CFR Part 145 component repair station near MIA. 18 employees, ~15,000 sq ft. Avionics/instruments/radio for piston through large commercial turbine. Previously enriched record — verified still active. AMETEK corporate-owned (public company). Not a standalone ERP target — operates under AMETEK enterprise systems."
MI4R363M,Palm Beach Avionics,Palm Beach Avionics Inc,West Palm Beach,FL,https://palmbeachavionics.com,small,avionics-specialist,general-aviation,good,none,"AEA member since 1980. 40+ years in business. Located at North Palm Beach County GA Airport (F45) — 11250 Aviation Blvd. FAA CRS MI4R363M. Ratings: Radio Class I/II/III + Limited Instrument + Autopilot + Airframe. NCATT-certified technicians. GM: Stacey Jordan. Clean website. Good ERP target for avionics-focused shop."
N/A,Lauderdale Aircraft Services,,Fort Lauderdale,FL,none,small,general-mro,unknown,none,none,"No web presence found. Fort Lauderdale area (FXE likely). Very low digital profile — classic micro hangar operation. No LinkedIn, no website, no search results. Top-tier no-website target. Verify FAA cert status in FAA repair station database."
N/A,ABS Jets Americas,,Fort Lauderdale,FL,https://www.absjets.com,small,charter-mro,business-jets,professional,none,"ABS Jets is Czech-based business aviation company (Prague/Bratislava HQ, 250+ staff). Americas division is a US market presence. Full-service: charter/management/maintenance/CAMO. Parent website is professional and enterprise-grade. Americas-specific Part 145 presence at FTL unconfirmed — verify FAA cert and local operation."
N/A,Executive Turbine Aviation,,Boca Raton,FL,none,small,turbine-mro,turbine-aircraft,none,none,"No web presence found. Boca Raton Airport (BCT) area. Name suggests turbine aircraft maintenance focus. Very low digital profile — no website, no social media, no reviews found. Priority no-website outreach target. Likely small-to-medium turbine MRO."
N/A,Boca Aircraft Maintenance,BAM,Boca Raton,FL,https://bocamx.com,medium,corporate-jet-mro,"Dassault-Falcon/Bombardier-Challenger/Learjet/Eclipse/Hawker",good,none,"80 employees (2020 data). 2 locations: Boca Raton BCT (22,000 sq ft) + Opa Locka OPF. FAA + EASA + Bermuda certified. 24/7 AOG service. Specializes in narrow-body corporate jets. Active LinkedIn (4,200+ followers). Good website. Strong ERP sales target — multi-location mid-size shop with growing operation."
