company_name,city,state,website,shop_size_class,aircraft_worked_on,profile_archetype,website_quality,software_mentions,erp_fit_score,website_fit_score,notes
SawyerMX,Scottsdale,AZ,https://sawyermx.com/,medium,"Business jets, turboprops (Citation, Gulfstream, King Air)",general-mro,moderate,none found,65,35,"Largest MRO staff at KSDL; part of Sawyer Aviation Group; charter affiliate; serves top fleets at busiest bizav airport in US"
Executive Aircraft Maintenance,Scottsdale,AZ,,medium,"Light piston through mid-size jets",general-mro,none,none found,60,85,"Class III FAA Part 145; expanded to PHX Sky Harbor; avionics + maintenance; no website found; well-established since pre-2017"
Cutter Aviation,Phoenix,AZ,https://cutteraviation.com/,large,"Light single-engine piston through mid-size jets and turboprops",fbo-mro,professional,none found,55,10,"Founded 1928; oldest family-owned FBO in US; multiple locations (KDVT, PHX, NM, TX); likely has enterprise systems already"
Heliponents Inc,Mesa,AZ,https://heliponentsinc.com/,medium,"Helicopters and fixed-wing; piston and turbine; rotor-wing components",helicopter-mro,moderate,none found,70,40,"Part 145 at Falcon Field (KFFZ); since 1991; NDT rating; FBO services; component overhaul specialty; 136+ yrs combined team experience"
Falcon Aviation Services,Mesa,AZ,https://www.falconaviationaz.com/,small,"GA piston (Cessna, Piper); some Citation/Gulfstream",general-mro,basic,none found,40,60,"Part 145 at KFFZ; flight school + aircraft rental + maintenance; oldest school at Falcon Field; small independent shop"
Red Mountain Aircraft Maintenance,Mesa,AZ,https://redmam.us/,small,"GA piston (Cessna, Piper, Beechcraft)",general-mro,basic,none found,25,55,"Mom & pop veteran-owned shop at KFFZ; 23 years experience; personal-touch operation; hangar L1 taxiway Bravo"
Arizona Aircraft Painting LLC,Mesa,AZ,https://arizonaaircraftpainting.com/,medium,"GA piston, twins, helicopters, business jets",paint-specialist,moderate,none found,55,30,"10,000 sq ft facility with 3,025 sq ft pressurized paint booth at Falcon Field; also does interior and maintenance"
Arizona Aircraft Interior Designs,Mesa,AZ,https://www.azaircraftinteriors.com/,medium,"Private and corporate aircraft; GA through business jets",interior-specialist,moderate,none found,55,35,"Part 145; 16,000 sq ft at Falcon Field; est. 1975; 45+ years; interior fabrication and refurbishment specialist"
Spectrum Aerospace,Tempe,AZ,https://spectrum-aero.com/,medium,"Airframe and accessories components; commercial and GA",component-specialist,professional,none found,65,15,"Part 145 since 2008; dual FAA/EASA tags; 30,000 sq ft (20k main + 10k warehouse); precision machine shop; component MRO"
Praxis Resources,Gilbert,AZ,https://praxisresources.com/,medium,"Avionics/PCB components for airlines and cargo carriers",avionics,professional,none found,60,15,"Part 145; aerospace manufacturing + avionics repair; 51-200 employees; PCB repair, CNC machining; serves airlines/cargo"
Chandler Avionics,Chandler,AZ,https://www.chandleravionics.com/,small,"GA piston and light aircraft (ADS-B, GPS, autopilots)",avionics,basic,none found,35,60,"Part 145 at Chandler Municipal Airport (KCHD); Garmin/Stratus/Avidyne dealer; CNC panel fabrication; small independent shop"
Aircraft Engine Specialists (AES),Chandler,AZ,https://aircraftenginespecialists.com/,small,"Lycoming and Continental piston engines",engine-specialist,moderate,none found,45,35,"FAA-certified repair station at KCHD since 2000; engine overhaul specialist; builds KP360 engines; nationwide service"
TurbineAero,Chandler,AZ,https://www.turbineaero.com/,large,"APU components for commercial/military/regional aircraft (Boeing, Airbus)",component-specialist,professional,none found,50,5,"Leading independent APU MRO globally; est. 1977; Chandler facility; FAA/EASA/CAAC Part 145; too large/enterprise for SMB target"
Jet MX,Goodyear,AZ,https://www.myjetmx.com/,medium,"Turbine jets; import/export; RVSM certifications",general-mro,moderate,none found,65,30,"Part 145 (#JETR229E) at KGYR; founded 2021; apprentice program; import/export and airworthiness certs; growing operation"
KBM Aviation,Goodyear,AZ,,small,"Cessna, Beechcraft, GA piston",general-mro,none,none found,35,80,"Full service maintenance at KGYR; authorized Cessna/Beechcraft service facility; Facebook-only presence; no website"
SWAZ Aviation LLC,Mesa,AZ,https://swazaviation.com/,small,"GA piston (Cessna, Piper); flight training fleet",general-mro,basic,none found,30,50,"At KFFZ; maintenance + flight school + aircraft rental; small shop; inspection, teardown, rebuilding"
Southwest Turbine Inc,Phoenix,AZ,https://southwestturbine.com/,medium,"PWC PT6T TwinPac, PW100 turbine engine parts",engine-specialist,moderate,none found,55,25,"FAA-approved; 20,000 sq ft Phoenix facility; designs, manufactures, repairs turbine engine replacement parts"
Lycon Inc of Arizona,Mesa,AZ,http://www.lyconarizona.com/,small,"Lycoming and Continental piston engines",engine-specialist,poor,none found,40,70,"At Falcon Field; est. 1975; two-person shop; 90 years combined experience; engine overhaul, cylinder repair, magneto repair"
Air Transport Components (ATC),Gilbert,AZ,,medium,"Commercial and military transport aircraft components (gearboxes, flaps)",component-specialist,none,none found,65,75,"62,000 sq ft Gilbert facility; EASA certified; repair/overhaul of gearboxes, flap actuators; commercial + military"
Airside MRO,Gilbert,AZ,https://airsidemro.com/,medium,"Boeing and Airbus commercial aircraft components; landing gear, accessories",component-specialist,professional,none found,60,15,"Part 145 since 2023; airframe/accessory/landing gear rated; new entrant targeting supply chain gap; professional web presence"
