cert_no,company_name,city,state,website_url,website_quality,shop_size_class,specialization,aircraft_worked_on,software_mentioned,notes
unknown,Thornton Aviation,Van Nuys / Burbank,CA,https://www.thorntonaviation.com,professional,medium,airframe/avionics/engines,"Dassault Falcon/Bombardier/Cessna Citation/Gulfstream/Embraer – 61+ FAA-approved types",none mentioned,"Independent; dual locations KVNY (7520 Hayvenhurst) and KBUR (2930 N. Clybourn). 40+ yrs in service. Heavy checks, mods, AOG. Strong ERP prospect – multi-site ops."
5RTR875C,RTS Aircraft Services LLC,Van Nuys,CA,https://www.rts.aero,basic,small,"airframe/avionics/instruments/engine","Gulfstream IV/Challenger 604/Falcon 900C/Learjet/King Air – piston, turboprop, turbofan",none mentioned,"Independent at KVNY. Since early 2000s. Site appears older/basic – good website redesign prospect. Full-service small shop."
unknown,SoCal Jets,Van Nuys,CA,https://www.socaljets.aero,basic,small,airframe/avionics,Corporate jets / private jets – broad,none mentioned,"Independent at KVNY since 1984. Website very minimal (single-page feel). Strong website redesign AND ERP prospect."
unknown,Clay Lacy Aviation,Van Nuys,CA,https://www.claylacy.com,professional,large,"airframe/avionics/engine (MRO)","Gulfstream/Embraer/Dassault Falcon/Bombardier/Textron business jets",none mentioned,"Large FBO+charter+MRO operator; Part 145 at KVNY open 24/7. Embraer ASC. Also has KSJC MRO ops. Too large for website redesign but ERP/MRO integration possible."
unknown,Sun Air Jets (FlyHouse),Camarillo,CA,https://www.sunairjets.com,professional,medium,"airframe/engine","Bombardier/Gulfstream/Hawker/Dassault/Cessna – turbine focus",none mentioned,"Bases at KCMA + KVNY. Being acquired by FlyHouse (Oct 2025). Part 145. FlightSafety/OEM-trained. MRO ERP prospect for new ownership."
W9BR551H,ACI Jet MRO,San Luis Obispo,CA,https://mro.acijet.com,professional,medium,"airframe/avionics","Bombardier (ASF)/Cessna Citation/turbine aircraft broadly",none mentioned,"Primary base KSBP; expanded AOG hub at KVNY (2022). Bombardier ASF + Honeywell/Collins/Garmin dealer. Growing CA network. Good ERP prospect."
unknown,KaiserAir Inc.,Oakland,CA,https://www.kaiserair.com,professional,medium,"airframe/avionics/engine","Gulfstream (specialty)/Hawker/Falcon/JetStar – business jets",none mentioned,"FBO+MRO+135+121 at KOAK & KSTS. 76-year history. Gulfstream specialist. Part 145 in-house. Mid-size – good ERP candidate."
unknown,Axcess Aviation Maintenance Services,McClellan (Sacramento),CA,https://axcessaviation.com,basic,small,airframe/engine (mobile),"Beechjet/Bombardier/Cessna Citation/piston+turboprop",none mentioned,"Based KMCC; mobile MRO to KOAK/KBUR/KVNY/KLGB/KCMA. Est. 2009. Basic website. Covers Bay Area via mobile. Website + ERP prospect."
AU3R384L,Corporate Air Technology,San Jose,CA,https://www.corpairtech.com,poor,small,airframe/limited engine,"Medium jets/turboprop – general",none mentioned,"At KSJC (1250 Aviation Ave Ste 125). FAA cert AU3R384L. No public website found – only Yelp listing. Site may be inactive or none. Very strong website prospect."
FM4R185M,LAC Avionics Inc.,San Jose,CA,http://www.lacavionics.com,poor,small,avionics/instruments,"Fixed wing + rotorcraft broadly – instruments/autopilot",none mentioned,"At KSJC (1250 Aviation Ave Ste 110). Avionics specialist. Website appears outdated/basic. Good website redesign + software prospect."
