shop_name,city,state,website,has_website,shop_size,employee_est,aircraft_types,software_mentioned,profile_archetype,website_quality,erp_fit_notes,website_fit_notes,notes
NORDAM Group,Tulsa,OK,https://www.nordam.com,yes,large,2500,commercial/military/bizjet/composite-structures,unknown,enterprise,9 - polished enterprise site,no-fit - too large/enterprise,no-fit - already has strong digital presence,"Founded 1969. One of world's largest independent aerospace companies. 2500 employees across multiple global facilities. Full MRO + manufacturing + composites. Way above Athelon ICP - enterprise tier with own IT. Disqualified."
Tulsa Avionics Services,Tulsa,OK,https://tulsaavionics.com,yes,small,5-15,general-aviation/corporate-aviation avionics,none found,avionics-bench-specialist,4 - dated HTML site mid-2000s era,low-fit - too small/ops simple,HIGH-FIT - site is extremely dated,"FAA repair station. Avionics bench shop (Nav/Comm/GPS/Instruments). Co-located with Porter Strait Instruments. 30+ years in business. Gen/corp aviation avionics only. Very small team. Website is circa 2005 - prime redesign target. Low ERP need given small scale."
PowerMaster Inc,Tulsa,OK,https://www.powermasterengines.com,yes,small,1-5,piston-GA - Beechcraft Bonanza/Cessna 210 (Continental/Lycoming),none found,owner-operator engine-specialist,4 - outdated static HTML site circa 2008,low-fit - owner-op too small,HIGH-FIT - site is very dated and basic,"FAA Repair Station P46R287Y at KRVS Tulsa Riverside. Specialty: Continental/Lycoming overhaul. Beechcraft Bonanza + Cessna 210 focus. Owner-operated by Bill Cunningham. Very small shop. Dates-stamped website by SigmaTek/VirtualTulsa. Strong website redesign opportunity but ERP need is minimal at this scale."
JetSet FBO,Bethany,OK,https://www.jetsetokc.com,yes,small-medium,20-50,general-aviation/bizjet - full FBO services,none found,FBO-with-maintenance,7 - clean modern FBO site,possible-fit - if MX ops are substantial,low-fit - site already modern 2024,"Located at Wiley Post Airport (KPWA). OKC's premier FBO. Offers fueling + hangaring + aircraft maintenance + charter. AEG Fuels partner. Modern website. FBO model - MRO is secondary to fueling/handling. ERP fit depends on maintenance volume. Not a pure Part 145 shop - confirm certification. Website already reasonably modern."
Aero-Mach Labs,Tulsa,OK,https://www.aeromach.com,yes,medium,100+,commercial/military/GA - instruments/avionics/fuel-systems,none found,component-MRO-specialist,8 - modern rebrand 2025,"POSSIBLE-FIT - $26M revenue, 100+ employees, growing","low-fit - site recently rebranded and modernized 2025","Founded 1971. Recently unified brand (Aero-Mach Labs + TCO Manufacturing + Wilco Aircraft Parts). ~100+ employees across 3 entities. $26M revenue est (Zippia). Specializes in aircraft instrument repair/OH/exchange and fuel system components. Won 2025 Aerospace Supply Chain Award. Serves OEMs/MROs/military/fleets. Medium-tier - possible ERP buyer but likely already has systems. Website just modernized - low redesign need near-term."
Aircraft Propeller Service,Tulsa,OK,https://aircraftaccessoriesofok.com,yes,small,5-15,general-aviation - magnetos/alternators/starters/propellers,none found,accessories-bench-shop,6 - functional but basic,possible-fit - MRO ops mgmt,MEDIUM-FIT - basic site functional but not impressive,"NOTE: Could not confirm exact 'Aircraft Propeller Service' in Tulsa - closest match is Aircraft Accessories of Oklahoma (aircraftaccessoriesofok.com) at Tulsa. FAA Repair Station #RV3R829L. Class I/II accessories. Since 1959. Authorized RAPCO/GAMI distributor. Prop shop + accessories. Family-owned small shop. Possible mix-up with shop name - needs verification. If this is the target shop, moderate redesign opportunity."
Airlift Helicopters,Oklahoma City,OK,not-found,no,unknown,unknown,helicopters,none found,helicopter-operator-or-MRO,unknown,unknown,MEDIUM-FIT if active MRO,"Cannot confirm this entity online. No website or FAA repair station found for 'Airlift Helicopters Oklahoma City' in current web search. May be defunct, renamed, or operating under DBA. Recommend direct phone outreach or FAA repair station lookup at av-info.faa.gov. If active - helicopter MRO shops are strong ERP + website targets."
Tulsa Air and Space Museum,Tulsa,OK,https://www.tulsaairandspacemuseum.org,yes,small,30-50 staff total,historic/display/restoration aircraft,none found,museum-restoration,7 - decent museum site,no-fit - not commercial MRO,low-fit - museum site serves its purpose,"Museum and planetarium. Not a commercial Part 145 repair station. Any aircraft maintenance is for display/restoration purposes only. Does not fit Athelon ICP. Disqualified for MRO sales. Possibly relevant for educational/partnership angle only."
Oklahoma Aircraft Sales & Service,Oklahoma City,OK,not-found,no,small,unknown,general-aviation,none found,GA-sales-and-service,unknown,possible-fit if active MRO,HIGH-FIT if no site,"Cannot confirm this entity online. No website or current FAA listing found for 'Oklahoma Aircraft Sales and Service' in OKC area. May be defunct or operating under different name. Recommend cross-reference FAA repair station database. If active and no website - prime cold outreach target for both website + ERP."
Southwest Helicopters,Moore,OK,not-found,no,small,unknown,helicopters,none found,helicopter-operator,unknown,possible-fit,HIGH-FIT if no site,"Found DOT/FMCSA registration and Bloomberg mention of Southwest Helicopters Inc - helicopter services company (construction/utility/charter). No current website found. May be primarily charter/utility ops vs. maintenance shop. If they hold Part 145 - strong target. Recommend FAA repair station lookup to confirm certification status."
