cert_no,company_name,dba_name,city,state,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
OYOR041J,POOR BOY AVIONICS OF SAN ANGELO,REBEL RED'S AVIATION,SAN ANGELO,TX,https://pbavion.com/,small,specialty-avionics,"general aviation - piston",basic,none,"AEA member; 30+ yrs established; avionics sales/install/maintenance/calibration; also detailing; 8734 Hangar Rd San Angelo TX 76904"
ARAR126E,ARCUS AERO LLC,,BRIDGEPORT,TX,https://arcusaero.com/,small,general-mro,"general aviation",basic,none,"AEA member since 2021; aircraft maintenance & sales; based at KXBP Bridgeport Municipal Airport; 508 LV Selz Rd"
Q6TR841X,AIRLINE TECH REPS LLC,STS LINE MAINTENANCE,IRVING,TX,https://www.stsaviationgroup.com/,large,specialty-line-maintenance,"commercial airline - narrow/widebody",professional,none,"Subsidiary of STS Aviation Group (Jensen Beach FL); 47 global line maintenance stations; EASA 145 certified; large enterprise operation"
FDMR086E,FREEDOM PROPULSION INC,,COLLINSVILLE,TX,https://fpi-global.com/,small,specialty-engine,"jet aircraft - business/commercial",good,none,"60+ yrs aviation maintenance; jet engine field service repair; GE On-Wing Support approved supplier; mailing address Glen Rose TX; DFW metro based; global reach"
G5KR574Y,GLOBAL AIRCRAFT SERVICE INC,,ADDISON,TX,https://globalaircraftservice.com/,small,specialty-components,"medium corporate aircraft",basic,none,"Founded 1998; fuel system specialist; 4570 Westgrove Dr Ste 152 Addison TX; can accommodate most medium-size corporate aircraft or travel worldwide"
U9FR750K,US AVIATION GROUP LLC,US AVIONICS,DENTON,TX,https://www.usjetcenter.com,large,fbo-with-maintenance,"piston - Piper fleet; general aviation",professional,none,"FBO + flight school + Part 145 shop at KDTO Denton Municipal; Piper dealer; 81000+ flight hrs/yr; also CAAC approved; large multi-division operation"
L79R116Y,DEER HORN AVIATION LTD COMPANY,LONE STAR PROPELLER,MIDLAND,TX,http://www.deerhornaviation.com/,small,specialty-components,"general aviation - piston and turboprop",poor,none,"Propeller overhaul/repair/exchange division; FBO (Avion Flight Centre) at Midland International (KMAF); services: overhauls, NDT, repairs, inspections; 9611 Wright Dr Midland TX"
5GXR127C,GALAXY AVIATION INC,,FRISCO,TX,,small,general-mro,"general aviation",none,none,"Confirmed via LinkedIn as Frisco TX 75035; no public website found; minimal online footprint; likely small shop"
ANAR333E,ARISPE AVIATION LLC,AIRSPEED & ATTITUDE,MCKINNEY,TX,https://airspeedattitude.com/,small,specialty-avionics,"general aviation - piston",good,none,"AEA member since 2017; avionics install/maintenance/troubleshoot; opened at Aero Country Airport (T31) McKinney; started 2014 as mobile avionics; 10160 Doolittle Dr McKinney TX 75071"
TRFR933D,THRUST AVIONICS LLC,,ADDISON,TX,,small,specialty-avionics,"general aviation",none,none,"Only found on FAA 145 search; no public website; based at Addison Airport (KADS); minimal online presence"
1E4R827B,EXP AIRCRAFT SERVICES,,ROANOKE,TX,https://www.expaircraft.com/,small,specialty-avionics,"experimental - Van's RV; general aviation",basic,none,"Specializes in experimental/homebuilt aircraft maintenance; avionics; pitot-static/transponder cert; IFR/VFR; ADS-B installs; 1004 Douglas Dr Roanoke TX"
85NR497D,BISON AVIATION LLC,,BOERNE,TX,https://www.bisonaviation.com/,small,general-mro,"general aviation",good,none,"FAA Part 145; maintenance + avionics + EO/IR services; at Boerne Stage Airfield (5C1); active social media presence (Instagram/Facebook)"
L2ZR265X,L2 AVIATION,L2 AVIATION,DRIPPING SPRINGS,TX,https://l2aviation.com/,medium,specialty-avionics,"general aviation / fleet operations",professional,none,"51-200 employees per LinkedIn; founded 1997; avionics upgrades/installations; 2100 East Hwy 290 Dripping Springs TX 78620; professional web presence; serves fleet customers"
E3AR837J,EXCEL AVIATION INC,,GAINESVILLE,TX,https://excelaviationinc.com/,medium,oem-service-center,"Dassault Falcon series; Bombardier Challenger series",good,none,"FAA certified Dassault Falcon Jet & Bombardier Challenger service facility; 2500 Airport Dr Gainesville TX 76240; privately held MRO; specialty narrowbody bizjet"
FE2R817K,HOWELL INSTRUMENTS INC,,FORT WORTH,TX,https://www.howellinst.com/,medium,specialty-components,"military and commercial - broad",professional,none,"Since 1951; engineers/manufactures/repairs aircraft instrumentation and engine monitoring; serves military and civilian markets; global leader in aviation tech solutions; Fort Worth TX"
VE1D555K,AIR DALLAS INSTRUMENTS INC,,DENISON,TX,https://airdallas.com/,small,specialty-components,"general aviation",good,none,"FAA certified instrument shop; instrument repair/calibration/avionics; at North Texas Regional Airport (GYI) 115 Executive Hangar Dr Hangar 11E Denison TX 75020; clean professional website"
Z8SR724Y,SAN ANTONIO AVIATION INC,SAN ANTONIO AVIONICS,SAN ANTONIO,TX,,small,specialty-avionics,"general aviation",none,none,"Located at Stinson Municipal Airport San Antonio; Facebook page found but no dedicated website; minimal digital footprint; avionics shop based at 8431 Mission Rd area"
SWZR311E,SCHWEIZER RSG LLC,,FORT WORTH,TX,https://schweizerrsg.com/,small,oem-service-center,"Schweizer 269/300 series helicopters",professional,none,"OEM heritage since 1956; current form as Schweizer RSG since 2018; FAA Part 145 certified 1959; 269/300 helicopter parts/refurb/training; 2828 N Nichols St Fort Worth TX 76106"
H2ER481K,HILL COUNTRY HELICOPTERS LLC,,BULVERDE,TX,,small,general-mro,"helicopters",none,none,"450 Brand Rd Bulverde TX 78163; helicopter charter/maintenance operation; no public website found; small local operation near San Antonio"
1YJR859C,AEROBRIGHAM LLC,,DECATUR,TX,https://aerobrigham.com/,large,full-service-mro,"helicopters (primary); fixed wing",professional,none,"60000 sq ft total hangar (45k rotorcraft + 15k fixed wing) at KLUD Decatur Municipal; world leader in helicopter completions/MRO/paint; family-owned; FAR Part 145 certified; 351 Airport Rd Decatur TX"
