company_name,city,state,phone,email,website,cert_no_faa,contact_name,employee_est,ebis_evidence,website_quality,erp_churn_priority,website_redesign_fit,notes
Salty Pelican Aviation,New Braunfels,TX,8308370823,office@saltypelicanaviation.com,saltypelicanaviation.com,,,,EBIS case study confirmed,functional-basic,HIGH,"Cirrus Authorized Service Center; 11 employees; AEA member since 2023; has website but basic"
Platinum Sky Maintenance,Fort Lauderdale,FL,7867171606,,aogpsm.com,,,,EBIS case study confirmed,basic-wix,HIGH,"AOG specialist at FXE; Hangar #12; corporate jet focus; website needs redesign — dual opportunity"
Basin Aviation,Midland,TX,4326857000,,basinaviation.com,,,,EBIS case study confirmed,dated-2023,HIGH,"FBO + Part 135 + MRO at Midland Airpark; Lear Jets and King Airs; founded 1970s; has site but dated"
My Jet DOM / Cole Aviation,McDonough/Atlanta,GA,4703594600,support@myjetdom.com,myjetdom.com,,Joe Cole,,EBIS case study confirmed,professional,MEDIUM,"Aircraft management for Part 91 jet owners; 6 employees; 10 corporate jets managed; good site already"
Midwest Corporate Air,Bellefontaine,OH,9375046982,maintenance@midwestcorporateair.com,midwestcorporateair.com,,Amy Kerns (maint),15,EBIS case study confirmed,professional,MEDIUM,"Flight school + MRO + FBO; maintenance dept has separate contact; Diamond and Cirrus fleet; 15 employees"
WAir Aviation,Wheeling,IL,8477731382,,wairaviation.com,,,,EBIS case study confirmed,basic-squarespace,HIGH,"Flight school + MRO at Chicago Executive KPWK; 8 employees; Cessna fleet; piston maintenance"
OCR Aviation,Long Beach,CA,5624265331,bobby@ocraviation.com,ocraviation.com,VTMR569K,,,"EBIS customer page confirmed; matched to FAA",unknown,HIGH,"60k sq ft; business aviation; already in master list with cert VTMR569K"
Clemens Aviation,Wichita,KS,3166480132,alex@clemensaviation.com,,7OKR809N,,,"EBIS customer page confirmed; matched to FAA",no-website,HIGH,"Near Wichita cluster; no website = dual website+ERP opportunity"
Appalachian Aero Group,Hickory,NC,8283681557,psevert@appaerogroup.com,,AOGR369E,,,"EBIS customer page confirmed; matched to FAA",no-website,HIGH,"NC location; matched to FAA master; no website"
Plane Place Aviation,Cleburne,TX,9728220637,ron.larson@planeplaceaviation.com,,PLPR528E,,,"EBIS customer page confirmed; matched to FAA",unknown,HIGH,"DFW area (Cleburne); matched to FAA master"
Oracle Aviation,Omaha,NE,4029345300,,oracleaviation.com,,,,EBIS customer page,professional-fbo,MEDIUM,"Full-service FBO + Part 145 avionics + Part 141/61 school; AEA member; professional site"
Qmulus Aviation,Caldwell,ID,2084592360,,qmulusaviation.com,57VR671D,Mark Hankinson,,EBIS customer page,professional,MEDIUM,"12k sq ft new facility; piston + turbine + avionics; AEA member since 2020; good site"
Flightcraft LNK,Lincoln,NE,4024758600,,flightcraft.com,,Kevin Owen,,EBIS customer page,professional,LOW,"Multi-location avionics chain; thousands of installations; professional site — may be too large for SMB ERP"
Jet Services Maintenance,Mobile,AL,,,flyjetservices.com,JSMR213E,Sean (President),,"EBIS customer page; CRS# JSMR213E",professional,HIGH,"Gulf Coast turbine specialists; Part 145 at KMOB; Citation/King Air/HondaJet/Phenom; recent Part 145 cert (2024)"
Cove Aviation,Van Nuys,CA,3104791890,charter@coveaviation.com,coveaviation.com,,,,EBIS case study,minimal,MEDIUM,"Part 135 charter; Gulfstream V + G280 + Bell 429; internal maintenance team; Van Nuys based"
SkyView Aviation,Tracy,CA,2098307666,,skyviewaviation.com,,,,EBIS customer page,basic,MEDIUM,"Flight school + maintenance + DAR; 2 locations (Tracy + Byron CA); primarily training focused"
CharterJet Solutions,Unknown,Unknown,,,,,,,EBIS case study,unknown,HIGH,"Part 135; 30 employees; 8 business jets; city/state unknown — needs further research"
Apex Aviation,Henderson,NV,,,apexaviationlv.com,9VNR950B,,,"EBIS customer page + case study; matched to FAA",functional,HIGH,"25k sq ft at KHND; dual location; turbine/rotorcraft/piston; already in master list"
