company_name,city,state,source_url,context_type,confidence,notes
Appalachian Aero Group,Hickory,NC,https://www.ebiscloud.com/case-studies/elevating-maintenance-operations-at-appalachian-aero-group,case_study,high,"MRO/A&P Shop with managed fleet; 9 employees / 4 technicians; pursuing Part 145 certification; switched from outdated software; recommended by WV parts repair shop"
Apex Aviation,Henderson,NV,https://www.ebiscloud.com/case-studies/streamlining-growth-and-maintenance-excellence-at-apex-aviation-with-ebis,case_study,high,"FAA Part 145 Repair Station; locations in Henderson NV (#9VNR950B) and Bermuda Dunes CA (#9VND950B); turbine/turboprop/avionics; adopted EBIS to scale toward Part 145 cert; recommended by SoCal Maintenance"
OCR Aviation,Long Beach,CA,https://www.ebiscloud.com/company/ocr-aviation,customer_page,high,"Part 145 Repair Station; 60000 sq ft hangar; business aviation MRO; named on EBIS customer showcase page"
Oracle Aviation,Omaha,NE,https://www.ebiscloud.com/company/oracle-aviation,customer_page,high,"Part 145 Repair Station and FBO; named on EBIS customer showcase page"
Jet Services Maintenance,Mobile,AL,https://www.ebiscloud.com/company/jet-services-maintenance,customer_page,high,"Part 145 aviation maintenance; named on EBIS customer showcase page; small-to-mid regional shop"
My Jet DOM (Cole Aviation),McDonough,GA,https://www.ebiscloud.com/case-studies/navigating-excellence-in-aircraft-management-my-jet-doms-journey-with-ebis,case_study,high,"Atlanta-area aircraft management; 6 employees (4 techs / 2 admin); manages 10 corporate jets; Part 91 fleet; owner Joe previously used EBIS 3.2 at prior Tulsa repair station"
Flightcraft,Lincoln,NE,https://www.ebiscloud.com/company/flightcraft,customer_page,medium,"FAA-certified Part 145 repair station at Lincoln Airport (LNK); named on EBIS customer showcase; note: separate from Flightcraft Portland OR"
Qmulus Aviation,Caldwell,ID,https://www.ebiscloud.com/case-studies/empowering-growth-and-scalability-with-ebis-at-qmulus-aviation,case_study,high,"FAA Part 145 Repair Station (#57VR671D) at Caldwell Executive Airport (KEUL); avionics/A&P/fleet mgmt; acquired by Sprintbach Aviation; adopted EBIS for scalability"
Salty Pelican Aviation,New Braunfels,TX,https://www.ebiscloud.com/case-studies/elevating-efficiency-and-growth-with-ebis-at-salty-pelican,case_study,high,"Cirrus Authorized Service Center (San Antonio region); 11-12 employees / 7 techs; uses EBIS for work order & parts tracking incl. Cirrus ATA codes; DOM is retired USAF vet with prior EBIS 3.2 experience from Cirrus"
Platinum Sky Maintenance,Fort Lauderdale,FL,https://www.ebiscloud.com/case-studies/streamlining-growth-and-certification-with-ebis-at-platinum-sky-maintenance,case_study,high,"MRO/AOG specialist based at Fort Lauderdale Executive Airport (FXE); private jet / corporate aircraft focus; ~3 founding partners; pursuing certification; nationwide AOG coverage"
Cove Aviation,California,CA,https://www.ebiscloud.com/case-studies/optimizing-maintenance-operations-with-ebis-at-cove-aviation,case_study,medium,"Part 135 charter; 10 employees / 4 techs; operates Gulfstreams and helicopters; internal maintenance only (no 3rd-party); met EBIS at NBAA; specific city not publicly disclosed"
Plane Place Aviation,Dallas,TX,https://www.ebiscloud.com/case-studies/navigating-growth-and-partnership-with-ebis-at-plane-place,case_study,high,"MRO specializing in Hawker / Citation / Challenger; avionics and AOG services; based near Dallas Love Field (KDAL); co-owners Travis & Tristan carried EBIS from prior MRO; Part 145"
Midwest Corporate Air,Bellefontaine,OH,https://www.ebiscloud.com/case-studies/enhancing-efficiency-and-safety-at-midwest-corporate-air-with-ebis,case_study,high,"Part 61/91 flight school and MRO; 15 employees / 11 techs; 12 Diamond and Cirrus aircraft; Maintenance Coordinator Amy Kerns brought EBIS from prior employer; EBIS used for compliance and work orders"
WAir Aviation,Wheeling,IL,https://www.ebiscloud.com/case-studies/empowering-growth-and-efficiency-with-wair-aviation,case_study,high,"Flight school and MRO at Chicago Executive Airport (KPWK); piston aircraft maintenance; full-service at 1071 S Wolf Rd Hangar 10-4; Part 61 certified"
Basin Aviation,Midland,TX,https://www.ebiscloud.com/case-studies/elevating-operational-efficiency-with-ebis-at-basin-aviation,case_study,high,"FBO/Part 135/MRO at Midland Airpark; founded 1970s; stable small business; adopted EBIS after recommendation from X-1 FBO integration partner; replaced paper/spreadsheet system"
NEBA,Unknown,Unknown,https://www.ebiscloud.com/case-studies/elevating-mro-operations-with-ebis-at-neba,case_study,low,"Small MRO specializing in Falcon and Gulfstream routine maintenance; 10 employees / 9 techs; not Part 145 certified; 3 customers each with multiple aircraft; owner Robert (40 yrs A&P); Midwest-implied (saw EBIS at a Midwest repair station)"
CharterJet Solutions,Unknown,Unknown,https://www.ebiscloud.com/case-studies/optimizing-fleet-management-and-operations-at-charterjet-solutions,case_study,medium,"Part 135 charter; 30 total employees / 3 techs; 8 business jets managed in-house; EBIS used for labor/parts tracking and monthly batch invoice reports; location not publicly disclosed"
Clemens Aviation,Benton,KS,https://www.ebiscloud.com/resources/aircraft-maintenance/how-clemens-aviation-scaled-from-a-small-team-to-130-employees,blog_feature,high,"Founded at Stearman Field near Wichita; full-service MRO for piston/turbine/jet; scaled to 130 employees using EBIS; $145/hr shop rate; multiple FBO locations; slightly above target market size but within EBIS case study spotlight"
SkyView Aviation,Tracy,CA,https://www.ebiscloud.com/company/skyview-aviation,customer_page,medium,"Small aviation maintenance provider; named on EBIS customer showcase page; Tracy Municipal Airport area; general aviation focus; specific Part 145 status unconfirmed"
MyFlight,,,https://www.ebiscloud.com/case-studies,case_study,high,EBIS case study confirmed; flight management
Eagle Aviation,,,https://www.ebiscloud.com/company,company_page,medium,Company page listing; no full case study
