mbp_id,canonical_group_id,title,normalized_requirement,source_pack,source_id,source_file,status,priority,wave,owner_lane,dependencies,acceptance_criteria,test_gate,notes
"MBP-0001","GRP-016","OJT task progression scoring","Digitally tracked progression with sign-off integrity","REPORT","RPT-001","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","implemented","P2","Wave3","workflow","[""GRP-001"", ""GRP-002""]","Regression coverage confirms current behavior remains stable and traceable.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Multi-step training with score progression concept; source_dependencies=Trainer workflows, user records; risks=Superficial completion gaming; evidence=E01,E02,E03; ctx_seed=ICS-001/corpus=industry-context-field-artifacts/doc=OJT Data Flow.pdf/feature=16/conf=high/date=2026-03-03"
"MBP-0002","GRP-016","Multi-aircraft shared OJT tasks","Shared + aircraft-specific task linking","REPORT","RPT-002","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","proposed","P2","Wave3","workflow","[""GRP-001"", ""GRP-002""]","Feature intent is specified, scoped, and validated with executable acceptance tests before build start.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Single-aircraft orientation in legacy base; source_dependencies=Task model refactor; risks=Complexity explosion; evidence=E11"
"MBP-0003","GRP-021","Voice notes + transcript capture","Voice-first notes with editable transcript","REPORT","RPT-003","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","proposed","P2","Wave0","platform","[]","Feature intent is specified, scoped, and validated with executable acceptance tests before build start.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Typing-heavy data entry; source_dependencies=Speech pipeline; risks=Mis-transcription; evidence=E11"
"MBP-0004","GRP-021","Spell-check accessibility layer","Ubiquitous writing assist","REPORT","RPT-004","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","proposed","P2","Wave0","platform","[]","Feature intent is specified, scoped, and validated with executable acceptance tests before build start.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=High friction for dyslexic users; source_dependencies=Input components; risks=Bad autocorrection in technical terms; evidence=E11"
"MBP-0005","GRP-016","Trainer sign-off queue","Explicit pending sign-off list + audit trail","REPORT","RPT-005","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave3","workflow","[""GRP-001"", ""GRP-002""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Conceptual workflow exists; source_dependencies=Notifications, role model; risks=Missed approvals; evidence=E03,E31; ctx_seed=ICS-001/corpus=industry-context-field-artifacts/doc=OJT Data Flow.pdf/feature=16/conf=high/date=2026-03-03"
"MBP-0006","GRP-009","Efficiency baseline by experience","Managed planning model in product","REPORT","RPT-006","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave3","product","[""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Conceptual handicap model described; source_dependencies=HR/profile data; risks=Misclassification; evidence=E04"
"MBP-0007","GRP-009","Growth curve dashboard","Role-based growth dashboards","REPORT","RPT-007","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave3","product","[""GRP-002"", ""GRP-003""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable.","current=Radar and growth curve concept; source_dependencies=Metric definitions; risks=KPI misuse; evidence=E05,E07"
"MBP-0008","GRP-012","Team composition warnings","Real-time staffing-risk alerts in scheduling","REPORT","RPT-008","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave5","workflow","[""GRP-003"", ""GRP-009""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include deterministic schedule/prediction assertions.","current=Predictive warning concept discussed; source_dependencies=Work order context, skills matrix; risks=Alert fatigue; evidence=E06"
"MBP-0009","GRP-013","Predictive maintenance (Chapter 5)","Reliable continuous prediction engine","REPORT","RPT-009","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave5","data","[""GRP-012"", ""GRP-017""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include deterministic schedule/prediction assertions.","current=Demonstrated path + manual confirmations; source_dependencies=Chapter 5 data quality; risks=Wrong forecasts; evidence=E15,E28,E29"
"MBP-0010","GRP-013","ADS-B usage integration","Live cycle/time approximation with correction factor","REPORT","RPT-010","reports/transcript-intelligence/2026-03-03/athlon-leadership-report.md","partial","P1","Wave5","data","[""GRP-012"", ""GRP-017""]","All missing behaviors are completed and verified end-to-end against source requirement text.","npx tsc --noEmit; targeted Playwright scenario; Convex query/mutation validation where applicable. Include deterministic schedule/prediction assertions.","current=Planned + partially wired; source_dependencies=External feeds; risks=Data mismatch with tach time; evidence=E17,E28"
