entity_name,city,state,is_enterprise,website,shop_size_class,employees_est,aircraft_worked_on,profile_archetype,erp_software_used,contact_name,contact_title,notes
Aviation Concepts MRO LLC,Miami,FL,no,https://aviationconceptsmro.com,small,unknown,unknown,general-mro,unknown,unknown,unknown,"Website exists but nearly no content; very limited web presence; FAA cert status unconfirmed from public sources; low digital footprint — cold outreach candidate"
Prestige Aero Services Inc,Miami,FL,no,https://prestigeaeroservices.com,small,unknown,"Military and commercial aircraft",component-specialist,unknown,unknown,unknown,"FAA & EASA & UK certified; full-service repair station since 1995; overhaul/repair/modification/NDT/flame spray/welding/bench testing; address 7307 NW 56th St Miami FL 33166; phone 305-884-8889; all in-house no sub-contractors; email sales@prestigeaeroservices.com"
Prompt Aero Services Inc,Hialeah,FL,no,https://promptaero.com,small,unknown,"Hydraulic & electromechanical aircraft components (antiskid valves; power control actuators; flight control actuators; landing gear actuators; hydraulic pumps)",component-specialist,unknown,unknown,unknown,"FAA Repair Station #O78R205Y; EASA 145.6013; address 7800 W 25th Ct Hialeah FL 33016; phone (305) 818-0712; specializes in hydraulic component MRO"
WBA Aviation Services LLC,Miami,FL,no,https://wba-as.com,small,unknown,"Fixed-wing and rotary-wing; civil/commercial/military aircraft accessories and hydraulic systems",component-specialist,unknown,unknown,unknown,"FAA Part 145 certified; address 12401 SW 134th Ct Miami FL 33186; specializes in repair/overhaul of hydraulic pumps/servos/brakes/gears/electrovalves/actuators/valves; landing gear services; both rotary and fixed-wing"
NAS MRO Services LLC,Hialeah,FL,no,https://nasmro.com,medium,unknown,"Boeing; Airbus; CFM (CFM56); Bombardier; Embraer; ATR; Fokker; De Havilland",component-specialist,unknown,unknown,unknown,"FAA & EASA approved 145 repair station; one-stop-shop component MRO; capabilities: engine mounts/fan blades/wire harnesses/radomes/nacelles/acoustical panels/flight structures/IFE/fuel systems/lavatories/galley/batteries/emergency equipment; recently completed ownership transition — now fully independent"
Jet Aircraft Maintenance Inc,Miami,FL,no,https://www.jetgroup.net,medium,unknown,"All major airframe and powerplant models",general-mro,unknown,Jeff Penn,"Chief Inspector / Quality Manager","Line maintenance specialist; operates at 7 airports across the US; services include transit/daily/overnight/A-checks/ETOPS/on-call maintenance/borescope/GSE; address 5600 NW 36th St Ste 845 & 7501 NW 52nd St Miami FL 33166; contact Chief Inspector Jeff Penn per website"
Juver Aviation Services Inc,"Pembroke Pines",FL,no,https://juveraviation.com,small,unknown,"Commercial aircraft including new-generation (instruments/avionics focus)",avionics,unknown,unknown,unknown,"FAA CRS# J54R014Y / EASA.145.5689 / UK.145.50923; certified since 2005; 35+ years experience in instrumentation and avionics; specializes in instruments/electrical accessories/electronic accessories/radio; address 911 NW 209th Ave Pembroke Pines FL 33029; phone (954) 430-1680; worldwide industry recognition"
High Class MRO Inc,Medley,FL,no,https://highclassmro.com,small,unknown,"Aircraft accessories and radio components (South Florida GA and commercial)",component-specialist,unknown,unknown,unknown,"FAA Part 145 status unconfirmed from public sources; specializes in TRO (test/repair/overhaul) of aircraft accessories and radio components; strong customer service emphasis; South Florida market focus; limited employee/contact info online"
Next MRO LLC,"Miami Gardens",FL,no,https://www.nextmro.aero,medium,unknown,"Commercial and military aircraft — landing gear; APU; hydraulic; pneumatic; accessories (5000+ components)",component-specialist,unknown,Noel Aguilera,Founder/CEO,"FAA Part 145 & EASA; FAA Open-Class license (rare capability — can add new components without standard red tape); 40000 sq ft facility in Miami area; landing gear/actuation/NDT/machining/warehousing on-site; preferred by leading airlines; address 15800 NW 48th Ave Miami Lakes FL 33014"
Modern MRO LLC,Miami,FL,no,https://modernmro.com,small,unknown,"Aircraft components (general MRO and aerospace logistics)",component-specialist,unknown,unknown,unknown,"FAA Cert #FCRR026E; FAA/EASA certified; focuses on aircraft component overhaul and aerospace logistics supply chain; values-driven culture; limited public employee/contact info; moderate web presence"
