audience,role_group,route,route_kind,category,page_file,primary_job,core_convex_modules,depends_on_domains,links_to_domains,status_layer,notes
public,unauthenticated_user,/sign-in/*,page,Auth,app/(auth)/sign-in/[[...sign-in]]/page.tsx,Authenticate internal users,-,-,Customer Portal,public_auth,-
public,unauthenticated_user,/sign-up/*,page,Auth,app/(auth)/sign-up/[[...sign-up]]/page.tsx,Register internal users,-,-,-,public_auth,-
customer,customer_portal_user,/portal/sign-in,page,Customer Portal,app/(customer)/sign-in/page.tsx,Authenticate customer portal users,-,-,-,customer_portal,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Live customer portal sign-in route; missing from derived route registry as of 2026-03-04.
customer,customer_portal_user,/portal,page,Customer Portal,app/(customer)/portal/page.tsx,Review customer-facing dashboard,customerPortal,-,Fleet|Work Orders,customer_portal,-
customer,customer_portal_user,/portal/work-orders,page,Customer Portal,app/(customer)/portal/work-orders/page.tsx,Track customer work order status,customerPortal,-,-,customer_portal,-
customer,customer_portal_user,/portal/quotes,page,Customer Portal,app/(customer)/portal/quotes/page.tsx,Review and respond to customer quotes,customerPortal,-,-,customer_portal,-
customer,customer_portal_user,/portal/invoices,page,Customer Portal,app/(customer)/portal/invoices/page.tsx,Review customer invoices and status,customerPortal,-,-,customer_portal,-
customer,customer_portal_user,/portal/fleet,page,Customer Portal,app/(customer)/portal/fleet/page.tsx,Review customer fleet status,customerPortal,-,-,customer_portal,-
customer,customer_portal_user,/portal/messages,page,Customer Portal,app/(customer)/portal/messages/page.tsx,Send and review customer messages,customerPortal,-,-,customer_portal,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv. Live customer portal messages route; missing from derived route registry as of 2026-03-04.
internal,new_internal_user,/onboarding,page,Onboarding,app/(app)/onboarding/page.tsx,"Bootstrap org, user, and profile link",onboarding,-,Dashboard,live_route,-
internal,all_internal_roles,/dashboard,page,Dashboard,app/(app)/dashboard/page.tsx,Monitor cross-shop operational status,adCompliance|capacity|hangarBays|schedulerRoster|timeClock|workOrders,Compliance|Scheduling|Time Tracking|Work Orders,Fleet|Work Orders,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders,page,Work Orders,app/(app)/work-orders/page.tsx,Manage work order backlog,shopLocations|workOrders,Settings,Dashboard|Lead Center|Onboarding,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/dashboard,page,Work Orders,app/(app)/work-orders/dashboard/page.tsx,Review work order KPIs and WIP,timeClock|workOrders,Time Tracking,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/lead,page,Work Orders,app/(app)/work-orders/lead/page.tsx,Coordinate lead workspace workload,leadTurnover,Lead Center,-,live_route,-
internal,shop_manager|lead_technician|technician|qcm_inspector,/work-orders/handoff,page,Work Orders,app/(app)/work-orders/handoff/page.tsx,Review shift handoff status,taskCards,-,-,live_route,Live router surface not represented in MASTER-ROUTE-CAPABILITY-REGISTRY.csv.
