entity_name,city,state,is_enterprise,website,shop_size_class,employees_est,aircraft_worked_on,profile_archetype,erp_software_used,contact_name,contact_title,stevens_connection,notes
Corporate Flight Management Inc,Smyrna,TN,YES,https://www.contouraviation.com,enterprise,900+,"Fixed-wing GA; business jets; regional airline; rotary-wing; multi-type",general-mro,unknown,,,Co-located at KMQY — direct competitor,"DBA Contour Aviation; founded 1982 as Corporate Flight Management Inc; 900+ employees; private jet charter + regional airline ops + MRO/avionics + FBO + aircraft sales; too large for SMB ERP targeting; well-funded enterprise"
Hollingshead Aviation Services LLC,Smyrna,TN,NO,https://www.hollingsheadaviation.com,small,10-30,"General aviation fixed-wing; light aircraft",general-mro,unknown,,,Co-located at KMQY — indirect competitor (FBO+MRO overlap),"Independent FBO + Part 145 repair station at KMQY; formerly Smyrna Air Center (rebranded/new ownership 2017); primarily FBO/line service + hangar rental; Part 145 covers light maintenance; BBB accredited since 2017; strong GA/biz-av customer base"
AMI Aviation Services LLC,Smyrna,TN,YES,https://www.amiaviation.com,medium,20-50,"Commercial; military; GA fixed-wing and rotary — all makes/models",avionics,unknown,,,Co-located at KMQY — direct MRO competitor,"Wholly-owned subsidiary of AeroMech Inc; NOT independent; FAA Part 145 Repair Station #6A5R818B; specializes in avionics electrical harness design/fabrication/installation; WIFI and RVSM upgrades; dual-location (KMQY + KSFB Orlando/Sanford); no geographic limitation in ops specs"
Sobec Aircraft Maintenance LLC,Nashville,TN,NO,https://flysobec.com,micro,5-10,"Business jets; private aircraft; airline support",general-mro,unknown,,,No direct connection,"Also known as SOBEC Aviation USA LLC; founded 2010; dual operations Nashville TN + Johannesburg South Africa; primarily aircraft management consulting + maintenance platform development; global airline leasing/wet-lease support in Africa and Middle East; BBB: Aviation Consultants category"
Aerolab Aviation Services Inc,McKenzie,TN,NO,https://www.aerolabaviation.com,micro,2-5,"GA fixed-wing; Bendix/King avionics components",component-specialist,unknown,,,No direct connection,"Highly specialized bench-repair shop — Bendix/King gyro and autopilot components only (KCS-55A; KFC-200; KCS-305; KI-256; KI-525A; KG-102A); FAA-certified repair station; niche avionics component overhaul; partner of Sarasota Avionics; listed in Kansas MapQuest but confirmed McKenzie TN"
Tennessee Aircraft Services Inc,Jackson,TN,NO,https://www.tennesseeaircraft.net,small,5-15,"Single-engine and piston twin; Cirrus SR series; Cessna 210",general-mro,unknown,Paul New,Owner/President,No direct connection,"Family-owned since 1974 (founded by Joseph New WWII mechanic; now run by son Paul New); est. Jackson TN near McKellar-Sipes Regional Airport; Cirrus Authorized Service Center; Cessna authorized service station; specialty in major structural repairs; 50+ year history"
Chattanooga Aero Service Inc,Chattanooga,TN,NO,unknown,micro,1-4,"GA fixed-wing; general aircraft maintenance",general-mro,unknown,Terry Romito,Contact/Manager,Stevens has AOG rapid-response presence in Chattanooga,"FAA Repair Station DX4R144M at KCHA (150 Honest St Chattanooga TN 37421); revenue est. $725K-$750K; 1-4 employees per Amfibi data; contact: tromito@chattaero.com / 423.892.2121; no independent public website found; listed on Chattanooga Airport GA providers page"
Merlin's Avionics Service,Gallatin,TN,NO,unknown,micro,1-3,"GA fixed-wing; avionics repair",avionics,unknown,Merlin Grigsby,Owner,No direct connection,"Very small owner-operated avionics shop; address variations suggest mobile or home-based operation (Nashville/Gallatin/Hendersonville area); phone (615) 365-0089; no website found; PureMRO lists as Hendersonville TN; registered address P.O. Box 290635 Nashville TN 37229"
Horizon Avionics,Alcoa,TN,NO,https://horizonavionics.com,small,5-15,"GA piston singles to light jets; turboprops; experimentals; light-sport; helicopters",avionics,unknown,,,No direct connection,"Independent avionics and maintenance shop at TYS (McGhee-Tyson Airport); 2445 E General Aviation Drive Suite C Alcoa TN 37701; AEA member since 1989; 30+ years experience; broad aircraft coverage including helicopters; well-established East TN shop"
Thom Duncan Avionics,Winchester,TN,NO,https://www.thomduncanavionics.com,micro,2-5,"GA fixed-wing; autopilots; avionics",avionics,unknown,Thom Duncan,Owner/Founder,No direct connection,"Founded 2018; FAA Repair Station at Winchester Municipal Airport KBGF; 574 Aviation Dr Winchester TN; phone (833) 838-6226; Info@thomduncanavionics.com; also operates Autopilot South division (autopilotsouth.com) focused on Garmin autopilot installs; mid-south GA market focus; 122 LinkedIn followers"
