shop_name,city,state,website,has_website,shop_size,employee_est,aircraft_types,software_mentioned,profile_archetype,website_quality,erp_fit_notes,website_fit_notes,notes
Tech-Aire Instruments,Wichita,KS,http://www.tech-aire.com/,yes,small,2-10,Aircraft instruments (all types — FAA and EASA approved),none found,instrument-repair,poor — outdated static HTML,Low ERP need — niche instrument shop with small staff and simple ops,HIGH website fit — outdated HTML site is prime candidate for $5-10k redesign,"AEA member since 1990. Contact: Joseph DeFalco. Large exchange pool. 1326 S. Walnut. Phone: 316-262-4020. Classic website redesign lead."
Midwest Malibu Center,Hutchinson,KS,http://www.midwestmalibucenter.com/,yes,small,5-15,PA-46 Malibu/Mirage/Meridian/Matrix (exclusive specialist),none found,piston-specialist,moderate — functional but dated,Medium ERP fit — niche single-type shop but manages parts inventory and brokerage,Medium website fit — functional but could use modernization for brokerage/pre-buy leads,"PA-46 exclusive specialist. Parts + service + maintenance + brokerage. Phone: 620-728-1356. Airport Rd Hutchinson. Hiring challenge noted in 2014 press."
Clemens Aviation,Benton,KS,https://www.clemensaviation.com/,yes,medium-large,50-130,Piston/turbine/jet — Beechjet 400A core plus managed fleet,EBIS (confirmed — featured case study on ebiscloud.com),jet-management-mro,good — modern professional site,NOT a prospect — already EBIS customer (case study: scaled from small team to 130 employees),Low website fit — already has modern professional website,"CONFIRMED EBIS user. Family-owned. Stearman Field Benton KS. Expanding to OKC. Jet sales + management + maintenance + FBO. 12 mechanics + 30 pilots (~50+ employees as of 2019 expansion; EBIS article title says 130). Competitor intelligence: reference customer for EBIS."
Air Capital Interiors,Wichita,KS,https://aircapitalinteriors.com/,yes,small-medium,10-25,All types (interior work) — cabinetry/upholstery/refurbishment for GA and business jets,none found,interior-specialist,good — clean modern site,Medium ERP fit — specialty interior shop with project-based workflow could benefit from job tracking,Low website fit — already has decent modern website,"FAA Certified Repair Station. 9424 E 37th St N Ste 300 Wichita 67226. Cabinetry repair/refinish/remanufacture plus custom prototypes. Niche interior-only shop."
Midwest Aircraft Services,Newton,KS,https://www.midwestaircraftservices.com/,yes,small,3-8,Piston aircraft — Lycoming and Continental engines,none found,piston-engine-shop,moderate — basic template site,Medium ERP fit — engine overhaul shop could benefit from work order tracking and parts management,Medium website fit — basic template site could be upgraded for $5-8k,"Actually in Newton KS (not Wichita — 25mi north). Engine repairs/overhauls + annual inspections. 1114 N Oliver Rd Hangar E. Phone: 316-283-5915. Small piston-focused shop."
Global Aviation Tech (GATECH),Wichita,KS,https://gatict.com/,yes,medium,28-34,Legacy and modern aircraft — Beechcraft Premier plus jets/turboprops; STCs and avionics upgrades,none found,full-service-mro,good — modern professional site with news/blog,HIGH ERP fit — growing mid-size full-service MRO with engineering/manufacturing/kitting needs complex workflow management,Low website fit — already has modern professional website,"Full-service Part 145 MRO. 630 N Washington Wichita 67214. Also has Elmira-Corning NY location. In-house engineering + manufacturing + STC development. Actively expanding. Phone: 316-425-0999. Strong ERP prospect if not already using one."
Bevan Aviation,Wichita,KS,https://bevanaviation.com/,yes,small-medium,10-20,Single-piston to small jets — avionics installation/repair plus A&P maintenance,none found,avionics-mro,good — modern redesigned site,Medium ERP fit — established avionics + maintenance shop could benefit from integrated work order/inventory system,Low website fit — recently redesigned modern website,"Formerly Bevan Rabell Inc. Est. 1954. At KICT. Family-owned. Avionics repair + installation + aircraft maintenance. Long-established reputation. LinkedIn active."
Kansas Aviation Services,Wichita,KS,,no,unknown,unknown,unknown,none found,general-mro,no website found,HIGH ERP fit (if operating) — no digital presence suggests manual/paper processes,HIGH website fit — no web presence at all; needs full digital presence build,"No web presence found. May operate under different name or may be very small/defunct. Needs manual FAA registry verification. If active: strong dual prospect for both website + ERP."
LJ Aviation,Wichita,KS,https://www.ljaviation.com/,yes,medium-large,30-50,Business jets — Challenger 350/300/Citation Sovereign+ and managed fleet (40+ aircraft),none found,charter-management-mro,good — clean Squarespace-style site,Medium-High ERP fit — 16 full-time maintenance techs managing 40+ aircraft fleet needs robust maintenance tracking,Low website fit — already has clean professional website,"Charter + aircraft management + Part 145 repair station. 16 full-time maintenance pros. 40+ aircraft under management. Commercial client services for OEMs and leasing cos. $1M funding noted."
Excel Aircraft Service,Wichita,KS,,no,unknown,unknown,unknown,none found,general-mro,no website found,HIGH ERP fit (if operating) — no digital presence suggests manual processes,HIGH website fit — no web presence at all; needs full digital presence build,"No web presence found. May operate under different name or may be very small/defunct. Needs manual FAA registry verification. If active: strong dual prospect for both website + ERP."
